Designator,Mid X,Mid Y,Rotation,Layer
C1,120.269,-92.456,90.0,bottom
C10,115.183999,-114.427,0.0,bottom
C11,125.409725,-91.313,180.0,bottom
C12,125.434725,-88.265,180.0,bottom
C13,127.250225,-91.2755,180.0,bottom
C14,127.225225,-88.2275,180.0,bottom
C15,126.379799,-99.888,180.0,top
C16,126.379799,-98.872,180.0,top
C17,124.1465,-98.806,0.0,top
C18,128.454299,-100.3235,90.0,top
C19,133.275299,-100.3235,90.0,top
C2,125.603,-101.0325,270.0,bottom
C20,142.748,-102.1755,270.0,top
C21,141.859,-102.3355,90.0,top
C22,133.4255,-108.458,180.0,top
C23,137.3625,-101.981,180.0,top
C24,143.6635,-104.648,0.0,top
C25,143.6885,-108.331,0.0,top
C26,138.938,-112.9545,270.0,top
C27,137.3625,-102.87,180.0,top
C28,140.589,-102.0485,270.0,top
C29,133.899,-104.147,90.0,top
C3,128.3475,-101.122,0.0,bottom
C30,139.7,-112.9545,270.0,top
C31,133.9335,-81.915,180.0,bottom
C32,133.9335,-82.677,180.0,bottom
C33,146.6175,-113.538,0.0,bottom
C34,145.161,-113.9705,270.0,bottom
C35,120.7255,-79.248,0.0,bottom
C36,123.3845,-78.994,0.0,bottom
C37,155.8105,-104.795,0.0,top
C38,150.002,-98.8775,90.0,top
C39,155.8175,-104.057,0.0,top
C4,128.3475,-99.622,0.0,bottom
C40,147.97,-105.4815,270.0,top
C41,147.716,-101.493,90.0,top
C42,155.209,-101.0855,90.0,top
C43,152.923,-108.2505,270.0,top
C44,147.5625,-104.16,180.0,top
C45,125.7815,-79.248,180.0,bottom
C46,131.851,-79.248,0.0,bottom
C47,133.218,-114.9615,270.0,top
C48,138.044,-115.0105,270.0,top
C49,134.1795,-78.994,0.0,bottom
C5,126.8465,-93.767,180.0,bottom
C50,136.5785,-79.148,180.0,bottom
C51,154.7125,-82.677,180.0,bottom
C52,154.7125,-81.915,180.0,bottom
C53,142.8235,-79.273,0.0,bottom
C54,144.9665,-79.019,0.0,bottom
C55,147.1175,-79.273,180.0,bottom
C56,134.493,-94.0315,270.0,top
C57,138.303,-84.328,0.0,top
C58,148.844,-94.3875,270.0,top
C59,142.5695,-84.328,0.0,top
C6,123.9255,-104.267,0.0,bottom
C60,148.844,-89.4345,90.0,top
C61,140.8695,-98.679,0.0,top
C62,144.4745,-98.679,180.0,top
C63,133.9335,-92.075,180.0,top
C64,133.9585,-89.408,180.0,top
C65,153.7705,-79.375,0.0,bottom
C66,156.0235,-79.097,0.0,bottom
C67,158.2935,-79.351,180.0,bottom
C68,147.193,-85.0305,270.0,top
C69,146.304,-85.2435,270.0,top
C7,123.825,-105.156,0.0,bottom
C70,144.6015,-84.328,180.0,top
C71,141.6925,-89.08,180.0,bottom
C72,135.763,-85.1415,90.0,top
C73,130.937,-85.1165,90.0,top
